terminalName,Street Address,location,Bikes Available,Docks Empty,Total Station Capacity,Time Imported
31235,19th St & Constitution Ave NW,"(38.8923, -77.0436)",3,31,34,12:23:20
31236,37th & O St NW / Georgetown University,"(38.90774, -77.071652)",9,13,22,12:23:20
31614,11th & H St NE,"(38.899983, -76.991383)",11,8,19,12:23:20
31237,25th St & Pennsylvania Ave NW,"(38.903827, -77.053485)",6,8,14,12:23:20
31623,Columbus Circle / Union Station,"(38.89696, -77.00493)",10,43,53,12:23:20
31624,North Capitol St & F St NW,"(38.897446, -77.009888)",14,9,23,12:23:20
31266,11th & M St NW,"(38.905607, -77.027137)",1,17,18,12:23:20
31304,36th & Calvert St NW / Glover Park,"(38.922581, -77.070334)",4,9,13,12:23:20
31238,14th & G St NW,"(38.898409, -77.032278)",6,15,21,12:23:20
31052,Potomac Ave & 35th St S,"(38.844015, -77.050537)",6,17,23,12:23:20
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,"(38.88412, -77.04657)",4,25,29,12:23:20
31262,11th & F St NW,"(38.897857, -77.026975)",3,12,15,12:23:20
31260,23rd & E St NW ,"(38.896104, -77.049882)",5,14,19,12:23:20
31014,Lynn & 19th St North,"(38.897315, -77.070993)",17,13,30,12:23:20
31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,"(38.8946, -77.072305)",7,11,18,12:23:20
31016,Clarendon Blvd & Pierce St,"(38.893438, -77.076389)",9,4,13,12:23:20
31017,Wilson Blvd & N Uhle St,"(38.891696, -77.0846)",4,11,15,12:23:20
31018,N Rhodes & 16th St N,"(38.892164, -77.079375)",5,4,9,12:23:20
31706,Fairfax Village,"(38.86559, -76.952103)",3,11,14,12:23:20
31261,21st St & Constitution Ave NW,"(38.892459, -77.046567)",6,8,14,12:23:20
31019,Wilson Blvd & N Edgewood St,"(38.889, -77.0925)",1,14,15,12:23:20
31113,Columbia Rd & Belmont St NW,"(38.920669, -77.04368)",1,18,19,12:23:20
31239,Rhode Island & Connecticut Ave NW,"(38.905995699991145, -77.03980207443237)",7,15,22,12:23:20
31241,Thomas Circle,"(38.9059, -77.0325)",6,24,30,12:23:20
31020,Wilson Blvd & Franklin Rd,"(38.8904, -77.0889)",6,4,10,12:23:20
31021,Clarendon Blvd & N Fillmore St,"(38.8881, -77.09308)",8,7,15,12:23:20
31022,Clarendon Metro / Wilson Blvd & N Highland St,"(38.88786, -77.094875)",4,13,17,12:23:20
31242,18th St & Pennsylvania Ave NW,"(38.89968, -77.041539)",6,19,25,12:23:20
31243,4th & C St SW,"(38.88637194054526, -77.01770067214966)",5,33,38,12:23:20
31244,4th & E St SW,"(38.88412, -77.017445)",4,15,19,12:23:20
31625,3rd & G St SE,"(38.881185, -77.001828)",4,15,19,12:23:20
31245,7th & R St NW / Shaw Library,"(38.912719, -77.022155)",4,9,13,12:23:20
31404,9th & Upshur St NW,"(38.9418, -77.0251)",10,5,15,12:23:20
31506,1st & Rhode Island Ave NW,"(38.915417, -77.012289)",6,8,14,12:23:20
31115,Columbia Rd & Georgia Ave NW,"(38.92812111132096, -77.0237946510315)",8,11,19,12:23:20
31116,California St & Florida Ave NW,"(38.917761, -77.04062)",15,4,19,12:23:20
31707,Benning Rd & East Capitol St NE / Benning Rd Metro,"(38.889935, -76.93723)",10,8,18,12:23:20
31307,3000 Connecticut Ave NW / National Zoo,"(38.930282, -77.055599)",9,6,15,12:23:20
31708,Anacostia Ave & Benning Rd NE / River Terrace ,"(38.896544, -76.96012)",3,11,14,12:23:20
31246,M St & Pennsylvania Ave NW,"(38.905126, -77.056887)",6,13,19,12:23:20
31626,15th St & Massachusetts Ave SE,"(38.88732, -76.983569)",4,11,15,12:23:20
31806,Congress Heights Metro,"(38.844711, -76.987823)",4,11,15,12:23:20
31035,N Quincy St & Glebe Rd,"(38.876393, -77.107735)",7,3,10,12:23:20
31033,Barcroft Community Center,"(38.85033657788445, -77.1009886264801)",6,5,11,12:23:20
31029,N Veitch  & 20th St N,"(38.896923, -77.086502)",4,11,15,12:23:20
31263,10th & K St NW,"(38.9024, -77.02622)",4,19,23,12:23:20
31023,Fairfax Dr & Wilson Blvd,"(38.885801, -77.097745)",4,6,10,12:23:20
31027,Key Blvd & N Quinn St,"(38.896355, -77.078408)",3,8,11,12:23:20
31628,1st & K St SE,"(38.878854378063295, -77.00572729110718)",6,7,13,12:23:20
31306,39th & Calvert St NW / Stoddert,"(38.922649, -77.077271)",6,13,19,12:23:20
31507,1st & Washington Hospital Center NW,"(38.928743, -77.012457)",7,7,14,12:23:20
31024,Virginia Square Metro / N Monroe St & 9th St N,"(38.882788, -77.103148)",6,12,18,12:23:20
31025,Central Library / N Quincy St & 10th St N,"(38.88397, -77.10783)",1,9,10,12:23:20
31026,Washington Blvd & 10th St N,"(38.884734, -77.093485)",5,10,15,12:23:20
31247,Jefferson Dr & 14th St SW,"(38.888553, -77.032429)",8,15,23,12:23:20
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,"(38.888767, -77.02858)",1,32,33,12:23:20
31036,George Mason Dr & Wilson Blvd,"(38.87887, -77.1207)",10,5,15,12:23:20
31264,6th St & Indiana Ave NW,"(38.894573, -77.01994)",4,14,18,12:23:20
31028,N Veitch & Key Blvd,"(38.893237, -77.086063)",3,7,10,12:23:20
31030,Lee Hwy & N Adams St,"(38.89593, -77.089006)",8,10,18,12:23:20
31031,15th & N Scott St,"(38.89054, -77.08095)",1,10,11,12:23:20
31032,Washington Blvd & 7th St N,"(38.88081, -77.090792)",7,4,11,12:23:20
31037,Ballston Metro / N Stuart & 9th St N,"(38.881044, -77.111768)",4,19,23,12:23:20
31034,N Randolph St & Fairfax Dr,"(38.882629, -77.109366)",2,9,11,12:23:20
31249,Jefferson Memorial,"(38.879819, -77.037413)",9,13,22,12:23:20
31803,Good Hope Rd & 14th St SE,"(38.866611, -76.985238)",9,6,15,12:23:20
31038,Glebe Rd & 11th St N,"(38.883921, -77.116817)",3,7,10,12:23:20
31039,Wilson Blvd & N Quincy St,"(38.880012, -77.107854)",11,3,14,12:23:20
31040,Fairfax Dr & Kenmore St,"(38.884616, -77.10108)",7,4,11,12:23:20
31508,Gallaudet / 8th St & Florida Ave NE,"(38.90509, -76.9941)",6,13,19,12:23:20
31250,20th & L St NW,"(38.903584, -77.044789)",7,12,19,12:23:20
31251,12th & L St NW,"(38.903819, -77.0284)",2,15,17,12:23:20
31252,21st St & Pennsylvania Ave NW,"(38.901539, -77.046564)",6,12,18,12:23:20
31253,19th & K St NW,"(38.902204, -77.04337)",3,20,23,12:23:20
31041,Prince St & Union St,"(38.803124, -77.040363)",3,14,17,12:23:20
31042,Market Square / King St & Royal St,"(38.804718, -77.043363)",0,15,15,12:23:20
31043,Saint Asaph St & Pendleton  St,"(38.810743, -77.044664)",4,11,15,12:23:20
